GB/T 12345	UCS	注释
1C5D	7BAD
1C5E	4EF6
1D01	5065
1D02	8266
1D03	528D
1D04	991E
1D05	6F38
1D06	6FFA
1D07	6F97
1D08	5EFA
1D09	50F5
1D0A	59DC
1D0B	5C07
1D0C	6F3F
1D0D	6C5F
1D0E	7586
1D0F	8523
1D10	69F3
1D11	596C
1D12	8B1B
1D13	5320
1D14	91AC	GB/T 12345 所用并不是现行标准的任何一种字形。
1D15	964D
1D16	8549
1D17	6912
1D18	7901
1D19	7126
1D1A	81A0
1D1B	4EA4
1D1C	90CA
1D1D	6F86
1D1E	9A55
1D1F	5B0C
1D20	56BC
1D21	652A
1D22	9278
1D23	77EF
1D24	50E5
1D25	811A
1D26	72E1
1D27	89D2
1D28	9903
1D29	7E73
1D2A	7D5E
1D2B	527F
1D2C	6559
1D2D	9175
1D2E	8F4E
1D2F	8F03
1D30	53EB
1D31	7A96
1D32	63ED
1D33	63A5
1D34	7686
1D35	79F8
1D36	8857
1D37	968E
1D38	622A
1D39	52AB
1D3A	7BC0
1D3B	6854
1D3C	6770
1D3D	6377
1D3E	776B
